SA2_MAINCODE_2011,SA2_NAME_2011,SUA_CODE_2011,SUA_NAME_2011,AREA_ALBERS_SQKM
213011335,St Albans - South,2011,Melbourne,6.2652245712
213011336,Sunshine,2011,Melbourne,4.7318584005
213011337,Sunshine North,2011,Melbourne,8.0229285289
213011338,Sunshine West,2011,Melbourne,12.9690227156
213011339,Sydenham,2011,Melbourne,3.9483049556
213011340,Taylors Lakes,2011,Melbourne,18.4629252696
213021341,Altona,2011,Melbourne,17.6848414409
213021342,Altona Meadows,2011,Melbourne,10.5400875755
213021343,Altona North,2011,Melbourne,16.1843424918
213021344,Newport,2011,Melbourne,8.8400582861
213021345,Seabrook,2011,Melbourne,1.6198949461
213021346,Williamstown,2011,Melbourne,7.3469248565
213031347,Braybrook,2011,Melbourne,7.4830145117
213031348,Footscray,2011,Melbourne,4.9671851133
213031349,Maribyrnong,2011,Melbourne,5.4950896760
213031350,Seddon - Kingsville,2011,Melbourne,1.6800717890
213031351,West Footscray - Tottenham,2011,Melbourne,5.9810105154
213031352,Yarraville,2011,Melbourne,5.6204411755
213041353,Bacchus Marsh,2001,Bacchus Marsh,196.3229188575
213041354,Caroline Springs,2011,Melbourne,11.4929261689
213041355,Hillside,2011,Melbourne,66.5465453953
213041356,Melton,2012,Melton,130.7121490813
213041357,Melton South,2012,Melton,110.9626695900
213041358,Melton West,2012,Melton,24.2022433306
213041359,Rockbank - Mount Cottrell,2011,Melbourne,125.7586486964
213041360,Taylors Hill,2011,Melbourne,5.9765976769
213051361,Hoppers Crossing - North,2011,Melbourne,11.0882730201
213051362,Hoppers Crossing - South,2011,Melbourne,7.0108612073
213051363,Laverton,2011,Melbourne,22.2446552715
213051364,Point Cook,2011,Melbourne,36.9487290889
213051365,Tarneit,2011,Melbourne,62.1216302585
213051366,Truganina,2011,Melbourne,27.0102765251
213051367,Werribee,2011,Melbourne,135.4211141513
213051368,Werribee - South,2011,Melbourne,114.0334421978
213051369,Wyndham Vale,2011,Melbourne,128.2396459620
214011370,Carrum Downs,2011,Melbourne,20.3077625959
214011371,Frankston,2011,Melbourne,11.6250123340
214011372,Frankston North,2011,Melbourne,13.2385239347
214011373,Frankston South,2011,Melbourne,14.5605244734
214011374,Langwarrin,2011,Melbourne,37.6196232053
214011375,Seaford (Vic.),2011,Melbourne,12.4317115858
214011376,Skye - Sandhurst,2011,Melbourne,19.8154053106
214021377,Dromana,2011,Melbourne,45.0580972879
214021378,Flinders,2000,Not in any Significant Urban Area (Vic.),287.4170692160
214021379,Hastings - Somers,2011,Melbourne,108.8851398785
214021380,Mornington,2011,Melbourne,21.0898729587
214021381,Mount Eliza,2011,Melbourne,23.2100106717
214021382,Mount Martha,2011,Melbourne,30.1924902378
214021383,Point Nepean,2011,Melbourne,67.1728578859
214021384,Rosebud - McCrae,2011,Melbourne,23.6882741247
214021385,Somerville,2011,Melbourne,117.3529586134
215011386,Ararat,2000,Not in any Significant Urban Area (Vic.),161.1786480193
215011387,Ararat Region,2000,Not in any Significant Urban Area (Vic.),4023.4387606700
215011388,Horsham,2010,Horsham,83.0693950981
215011389,Horsham Region,2000,Not in any Significant Urban Area (Vic.),4251.7602306266
215011390,Nhill Region,2000,Not in any Significant Urban Area (Vic.),11042.8192613721
215011391,St Arnaud,2000,Not in any Significant Urban Area (Vic.),3008.5751552752
215011392,Stawell,2000,Not in any Significant Urban Area (Vic.),2741.5538392719
